vondstnummer;project_code;subcategorie;object;begin_dat;eind_dat;vlak_max;munt_lengte_diameter_in_mm;vondstnummer,project_code,subcategorie,object,begin_dat,eind_dat,vlak_max,munt_lengte_diameter_in_mm
NZD1.00505MTL068;NZD1;metaal: nikkel;munt;1965.0;1965.0;-11.4;15.0;NZD1.00505MTL068,NZD1,metaal: nikkel,munt,1965.0,1965.0,-11.4,15.0
NZD1.00505MTL069;NZD1;metaal: nikkel;munt;1951.0;1951.0;-11.4;19.0;NZD1.00505MTL069,NZD1,metaal: nikkel,munt,1951.0,1951.0,-11.4,19.0
NZD1.00505MTL070;NZD1;metaal: koper-nikkel;munt;1969.0;1969.0;-11.4;21.0;NZD1.00505MTL070,NZD1,metaal: koper-nikkel,munt,1969.0,1969.0,-11.4,21.0
NZD1.00506MTL024;NZD1;metaal: brons;munt;1920.0;1920.0;-11.8;31.0;NZD1.00506MTL024,NZD1,metaal: brons,munt,1920.0,1920.0,-11.8,31.0
NZD1.00506MTL041;NZD1;metaal: brons;munt;1980.0;1980.0;-11.8;21.0;NZD1.00506MTL041,NZD1,metaal: brons,munt,1980.0,1980.0,-11.8,21.0
NZD1.00506MTL042;NZD1;metaal: brons;munt;1951.0;1951.0;-11.8;17.0;NZD1.00506MTL042,NZD1,metaal: brons,munt,1951.0,1951.0,-11.8,17.0
NZD1.00506MTL043;NZD1;metaal: brons;munt;1954.0;1954.0;-11.8;17.0;NZD1.00506MTL043,NZD1,metaal: brons,munt,1954.0,1954.0,-11.8,17.0
NZD1.00506MTL044;NZD1;metaal: staal;munt;1999.0;1999.0;-11.8;16.25;NZD1.00506MTL044,NZD1,metaal: staal,munt,1999.0,1999.0,-11.8,16.25
NZD1.00507MTL080;NZD1;metaal: lood;muntgewicht;1600.0;1800.0;-12.25;;NZD1.00507MTL080,NZD1,metaal: lood,muntgewicht,1600.0,1800.0,-12.25,
NZD1.00507MTL123;NZD1;metaal: goud;munt;1423.0;1455.0;-12.25;22.0;NZD1.00507MTL123,NZD1,metaal: goud,munt,1423.0,1455.0,-12.25,22.0
NZD1.00507MTL124;NZD1;metaal: zilver;munt;1599.0;1599.0;-12.25;25.0;NZD1.00507MTL124,NZD1,metaal: zilver,munt,1599.0,1599.0,-12.25,25.0
NZD1.00507MTL125;NZD1;metaal: zilver;munt;1599.0;1599.0;-12.25;19.0;NZD1.00507MTL125,NZD1,metaal: zilver,munt,1599.0,1599.0,-12.25,19.0
